iyear,imonth,iday,gname,nkill,nwound,longitude,latitude,country_txt,city,casualty
2011,8,13,Al-Qa`ida,1,0,74.357158,31.554606,Pakistan,Lahore,1
1992,12,29,Al-Qa`ida,2,5,44.894836,12.852692999999999,Yemen,Aden,7
1992,12,29,Al-Qa`ida,1,1,44.894836,12.852692999999999,Yemen,Aden,2
1998,8,7,Al-Qa`ida,224,4000,36.823491,-1.283279,Kenya,Nairobi,4224
1998,8,7,Al-Qa`ida,11,85,39.259342,-6.829574000000001,Tanzania,Dar es Salaam,96
2000,1,3,Al-Qa`ida,0,0,44.983199,12.790058,Yemen,Aden,0
2000,10,12,Al-Qa`ida,19,38,44.983199,12.790058,Yemen,Aden,57
2001,9,11,Al-Qa`ida,1381,0,-74.007124,40.71455,United States,New York City,1381
2001,9,11,Al-Qa`ida,1381,0,-74.007124,40.71455,United States,New York City,1381
2001,9,11,Al-Qa`ida,189,106,-77.086294,38.89051,United States,Arlington,295
2001,9,11,Al-Qa`ida,44,0,-78.902371,40.048868,United States,Shanksville,44
2001,12,22,Al-Qa`ida,0,1,2.3522220000000003,48.856614,France,Paris,1
2002,3,17,Al-Qa`ida,5,46,73.053857,33.708988,Pakistan,Islamabad,51
2002,4,8,Al-Qa`ida,10,80,70.447778,34.434166999999995,Afghanistan,Jalalabad,90
2002,4,11,Al-Qa`ida,21,30,10.855024,33.819136,Tunisia,Er Riadh,51
2002,5,8,Al-Qa`ida,14,20,67.028061,24.893379,Pakistan,Karachi,34
2002,6,27,Al-Qa`ida,19,24,66.39805600000001,31.008056,Afghanistan,Spin Boldak,43
2002,9,5,Al-Qa`ida,3,1,65.675942,31.617666999999997,Afghanistan,Kandahar,4
2002,9,5,Al-Qa`ida,10,65,69.166111,34.533056,Afghanistan,Kabul,75
2002,9,15,Al-Qa`ida,1,5,68.346304,25.377845999999998,Pakistan,Hyderabad,6
2002,10,6,Al-Qa`ida,1,12,47.922339,12.533136,International,Gulf of Aden,13
2002,11,14,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2002,11,21,Al-Qa`ida,0,8,65.675942,31.617666999999997,Afghanistan,Kandahar,8
2002,11,28,Al-Qa`ida,16,0,39.661445,-4.092902,Kenya,Mombasa,16
2002,11,28,Al-Qa`ida,0,0,39.705227,-4.024563,Kenya,Mombasa,0
2002,12,17,Al-Qa`ida,0,3,69.166111,34.533056,Afghanistan,Kabul,3
2003,3,4,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,5,Al-Qa`ida,0,1,70.447778,34.434166999999995,Afghanistan,Jalalabad,1
2003,3,7,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,10,Al-Qa`ida,3,5,65.675942,31.617666999999997,Afghanistan,Kandahar,8
2003,3,13,Al-Qa`ida,0,0,65.675942,31.617666999999997,Afghanistan,Kandahar,0
2003,3,15,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,18,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,20,Al-Qa`ida,0,0,65.675942,31.617666999999997,Afghanistan,Kandahar,0
2003,6,7,Al-Qa`ida,6,29,69.166111,34.533056,Afghanistan,Kabul,35
2003,8,13,Al-Qa`ida,17,3,64.369167,31.583056,Afghanistan,Lashkar Gah,20
2003,11,1,Al-Qa`ida,0,0,,,Afghanistan,Unknown,0
2003,11,20,Al-Qa`ida,16,224,,,Turkey,Istanbul,240
2003,11,20,Al-Qa`ida,16,224,,,Turkey,Istanbul,240
2003,12,25,Al-Qa`ida,15,46,73.043426,33.600398999999996,Pakistan,Rawalpindi,61
2004,3,24,Al-Qa`ida,0,2,71.579994,34.009667,Pakistan,Peshawar,2
2004,6,4,Al-Qa`ida,0,3,69.832993,32.687926000000004,Pakistan,Razmak,3
2004,6,10,Al-Qa`ida,24,0,69.590665,32.301964,Pakistan,Wana,24
2004,8,26,Al-Qa`ida,1,6,69.689823,32.386811,Pakistan,Tiarza,7
2004,8,28,Al-Qa`ida,2,5,69.590665,32.301964,Pakistan,Wana,7
2004,12,23,Al-Qa`ida,1,1,69.839388,32.620653000000004,Pakistan,Makin,2
2005,6,1,Al-Qa`ida,21,52,65.675942,31.617666999999997,Afghanistan,Kandahar,73
2005,11,5,Al-Qa`ida,8,0,70.067644,32.824731,Pakistan,Musaki,8
2006,2,6,Al-Qa`ida,0,0,67.116667,36.7,Afghanistan,Mazari Sharif,0
2006,9,18,Al-Qa`ida,11,18,43.650184,3.1200330000000003,Somalia,Baidoa,29
2006,11,10,Al-Qa`ida,9,4,70.009858,32.684554,Pakistan,Malik Shahi,13
2007,1,23,Al-Qa`ida,0,0,,,West Bank and Gaza Strip,Gaza City,0
