nkill,nwound,year,month,nattack,day,country,idate
0,3,2004,5,1,1,AFG,2004/5/1
0,16,2008,11,1,1,AFG,2008/11/1
1,0,2009,3,1,1,AFG,2009/3/1
0,46,2009,4,1,1,AFG,2009/4/1
0,161,2009,5,2,1,AFG,2009/5/1
0,12,2010,4,1,1,AFG,2010/4/1
0,55,2010,5,2,1,AFG,2010/5/1
0,40,2010,6,1,1,AFG,2010/6/1
0,46,2010,8,1,1,AFG,2010/8/1
0,1,2011,1,1,1,AFG,2011/1/1
0,200,2012,1,1,1,AFG,2012/1/1
0,0,2012,2,1,1,AFG,2012/2/1
0,140,2012,4,1,1,AFG,2012/4/1
0,570,2012,5,5,1,AFG,2012/5/1
0,237,2012,6,3,1,AFG,2012/6/1
1,29,2012,11,2,1,AFG,2012/11/1
0,250,2013,1,1,1,AFG,2013/1/1
0,30,2013,4,1,1,AFG,2013/4/1
0,250,2013,5,3,1,AFG,2013/5/1
0,50,2013,6,1,1,AFG,2013/6/1
0,,2013,7,1,1,AFG,2013/7/1
2,0,2014,10,1,1,AFG,2014/10/1
0,0,1992,1,1,1,AFG,1992/1/1
15,70,1992,2,2,1,AFG,1992/2/1
14,97,1992,8,2,1,AFG,1992/8/1
0,10,1992,11,3,1,AFG,1992/11/1
0,0,1992,12,6,1,AFG,1992/12/1
0,0,1994,1,1,1,AFG,1994/1/1
20,30,1994,5,1,1,AFG,1994/5/1
0,0,1994,7,2,1,AFG,1994/7/1
0,0,1995,8,1,1,AFG,1995/8/1
0,0,1995,9,1,1,AFG,1995/9/1
0,0,1995,10,1,1,AFG,1995/10/1
2,10,1995,12,1,1,AFG,1995/12/1
0,0,1996,7,1,1,AFG,1996/7/1
15,30,1996,8,1,1,AFG,1996/8/1
4,37,1997,1,1,1,AFG,1997/1/1
8,30,1998,9,1,1,AFG,1998/9/1
3,4,1999,6,1,1,AFG,1999/6/1
4,12,1999,7,4,1,AFG,1999/7/1
10,,1999,8,1,1,AFG,1999/8/1
0,5,1999,11,1,1,AFG,1999/11/1
0,0,2000,2,3,1,AFG,2000/2/1
0,0,2000,6,1,1,AFG,2000/6/1
1,0,2000,7,3,1,AFG,2000/7/1
0,1,2000,9,2,1,AFG,2000/9/1
0,10,2000,10,1,1,AFG,2000/10/1
0,0,2000,11,1,1,AFG,2000/11/1
25,0,2000,12,2,1,AFG,2000/12/1
0,0,2001,1,1,1,AFG,2001/1/1
0,4,2001,2,4,1,AFG,2001/2/1
5,8,2001,3,2,1,AFG,2001/3/1
10,30,2001,5,1,1,AFG,2001/5/1
7,15,2001,9,2,1,AFG,2001/9/1
0,0,2002,1,1,1,AFG,2002/1/1
10,80,2002,4,2,1,AFG,2002/4/1
0,6,2002,5,6,1,AFG,2002/5/1
19,24,2002,6,1,1,AFG,2002/6/1
21,98,2002,8,9,1,AFG,2002/8/1
12,68,2002,9,2,1,AFG,2002/9/1
0,0,2002,10,1,1,AFG,2002/10/1
0,13,2002,11,7,1,AFG,2002/11/1
1,5,2002,12,3,1,AFG,2002/12/1
50,59,2003,1,5,1,AFG,2003/1/1
0,3,2003,2,9,1,AFG,2003/2/1
5,14,2003,3,24,1,AFG,2003/3/1
3,6,2003,5,5,1,AFG,2003/5/1
10,37,2003,6,6,1,AFG,2003/6/1
11,5,2003,7,4,1,AFG,2003/7/1
17,3,2003,8,1,1,AFG,2003/8/1
8,19,2003,9,4,1,AFG,2003/9/1
2,2,2003,11,6,1,AFG,2003/11/1
0,18,2003,12,6,1,AFG,2003/12/1
22,45,2004,1,7,1,AFG,2004/1/1
0,2,2004,4,1,1,AFG,2004/4/1
24,61,2004,6,10,1,AFG,2004/6/1
11,36,2004,7,5,1,AFG,2004/7/1
19,22,2004,8,7,1,AFG,2004/8/1
1,5,2004,9,3,1,AFG,2004/9/1
17,15,2004,10,7,1,AFG,2004/10/1
0,3,2004,12,1,1,AFG,2004/12/1
12,16,2005,1,5,1,AFG,2005/1/1
6,36,2005,3,9,1,AFG,2005/3/1
8,0,2005,4,4,1,AFG,2005/4/1
3,14,2005,5,3,1,AFG,2005/5/1
22,54,2005,6,2,1,AFG,2005/6/1
19,15,2005,7,10,1,AFG,2005/7/1
1,19,2005,8,6,1,AFG,2005/8/1
21,38,2005,9,7,1,AFG,2005/9/1
12,24,2005,10,8,1,AFG,2005/10/1
13,20,2005,11,7,1,AFG,2005/11/1
10,10,2005,12,4,1,AFG,2005/12/1
38,46,2006,1,8,1,AFG,2006/1/1
34,30,2006,2,15,1,AFG,2006/2/1
13,10,2006,3,4,1,AFG,2006/3/1
23,61,2006,4,20,1,AFG,2006/4/1
14,23,2006,5,11,1,AFG,2006/5/1
21,31,2006,6,10,1,AFG,2006/6/1
39,143,2006,7,30,1,AFG,2006/7/1
72,158,2006,8,14,1,AFG,2006/8/1
88,172,2006,9,13,1,AFG,2006/9/1
38,48,2006,10,15,1,AFG,2006/10/1
18,29,2006,11,4,1,AFG,2006/11/1
41,37,2006,12,8,1,AFG,2006/12/1
15,20,2007,1,6,1,AFG,2007/1/1
34,71,2007,2,9,1,AFG,2007/2/1
34,54,2007,3,9,1,AFG,2007/3/1
63,104,2007,4,13,1,AFG,2007/4/1
58,69,2007,5,16,1,AFG,2007/5/1
75,115,2007,6,38,1,AFG,2007/6/1
50,106,2007,7,15,1,AFG,2007/7/1
99,63,2007,8,16,1,AFG,2007/8/1
116,94,2007,9,16,1,AFG,2007/9/1
35,53,2007,10,12,1,AFG,2007/10/1
132,160,2007,11,20,1,AFG,2007/11/1
49,70,2007,12,15,1,AFG,2007/12/1
63,80,2008,1,27,1,AFG,2008/1/1
161,159,2008,2,10,1,AFG,2008/2/1
59,96,2008,3,28,1,AFG,2008/3/1
91,151,2008,4,17,1,AFG,2008/4/1
32,41,2008,5,15,1,AFG,2008/5/1
19,46,2008,6,19,1,AFG,2008/6/1
121,213,2008,7,15,1,AFG,2008/7/1
21,25,2008,8,11,1,AFG,2008/8/1
35,43,2008,9,18,1,AFG,2008/9/1
36,46,2008,10,16,1,AFG,2008/10/1
47,175,2008,11,14,1,AFG,2008/11/1
43,108,2008,12,11,1,AFG,2008/12/1
17,42,2009,1,9,1,AFG,2009/1/1
28,41,2009,2,15,1,AFG,2009/2/1
53,72,2009,3,21,1,AFG,2009/3/1
48,79,2009,4,12,1,AFG,2009/4/1
98,105,2009,5,32,1,AFG,2009/5/1
73,145,2009,6,33,1,AFG,2009/6/1
109,107,2009,7,46,1,AFG,2009/7/1
134,175,2009,8,51,1,AFG,2009/8/1
105,177,2009,9,28,1,AFG,2009/9/1
63,163,2009,10,18,1,AFG,2009/10/1
43,55,2009,11,17,1,AFG,2009/11/1
45,113,2009,12,17,1,AFG,2009/12/1
56,91,2010,1,21,1,AFG,2010/1/1
64,147,2010,2,16,1,AFG,2010/2/1
77,143,2010,3,17,1,AFG,2010/3/1
25,69,2010,4,15,1,AFG,2010/4/1
63,125,2010,5,40,1,AFG,2010/5/1
90,135,2010,6,24,1,AFG,2010/6/1
22,104,2010,7,17,1,AFG,2010/7/1
117,93,2010,8,30,1,AFG,2010/8/1
40,182,2010,9,71,1,AFG,2010/9/1
42,45,2010,10,14,1,AFG,2010/10/1
40,84,2010,11,18,1,AFG,2010/11/1
62,53,2010,12,15,1,AFG,2010/12/1
72,70,2011,1,11,1,AFG,2011/1/1
124,183,2011,2,21,1,AFG,2011/2/1
89,141,2011,3,10,1,AFG,2011/3/1
29,28,2011,4,8,1,AFG,2011/4/1
98,183,2011,5,19,1,AFG,2011/5/1
123,222,2011,6,18,1,AFG,2011/6/1
74,93,2011,7,16,1,AFG,2011/7/1
83,119,2011,8,17,1,AFG,2011/8/1
99,194,2011,9,21,1,AFG,2011/9/1
63,57,2011,10,22,1,AFG,2011/10/1
118,123,2011,11,64,1,AFG,2011/11/1
172,374,2011,12,40,1,AFG,2011/12/1
171,209,2012,1,74,1,AFG,2012/1/1
106,150,2012,2,49,1,AFG,2012/2/1
149,156,2012,3,68,1,AFG,2012/3/1
196.67,286.56,2012,4,108,1,AFG,2012/4/1
279,195,2012,5,126,1,AFG,2012/5/1
344,381,2012,6,122,1,AFG,2012/6/1
228,317,2012,7,88,1,AFG,2012/7/1
208,354,2012,8,76,1,AFG,2012/8/1
212.5,312.5,2012,9,61,1,AFG,2012/9/1
180,239,2012,10,75,1,AFG,2012/10/1
120,215,2012,11,54,1,AFG,2012/11/1
88.5,129,2012,12,36,1,AFG,2012/12/1
93,173,2013,1,42,1,AFG,2013/1/1
70,97,2013,2,54,1,AFG,2013/2/1
106.98,136,2013,3,62,1,AFG,2013/3/1
183,210,2013,4,60,1,AFG,2013/4/1
231,392,2013,5,84,1,AFG,2013/5/1
282,258,2013,6,89,1,AFG,2013/6/1
264,325,2013,7,111,1,AFG,2013/7/1
220,413,2013,8,88,1,AFG,2013/8/1
156,375,2013,9,75,1,AFG,2013/9/1
151,208,2013,10,75,1,AFG,2013/10/1
120,179,2013,11,63,1,AFG,2013/11/1
134,210,2013,12,70,1,AFG,2013/12/1
176,165,2014,1,61,1,AFG,2014/1/1
162,178,2014,2,72,1,AFG,2014/2/1
245,279,2014,3,100,1,AFG,2014/3/1
153,222,2014,4,101,1,AFG,2014/4/1
255.34,349,2014,5,126,1,AFG,2014/5/1
237,271,2014,6,111,1,AFG,2014/6/1
322,361,2014,7,80,1,AFG,2014/7/1
169,255.5,2014,8,83,1,AFG,2014/8/1
253.34,605.34,2014,9,89,1,AFG,2014/9/1
140,261,2014,10,76,1,AFG,2014/10/1
234,372,2014,11,74,1,AFG,2014/11/1
187,230,2014,12,108,1,AFG,2014/12/1
6,3,1992,1,3,1,AFG,1992/1/1
0,1,1992,2,1,1,AFG,1992/2/1
4,0,1992,4,2,1,AFG,1992/4/1
1,1,1992,5,4,1,AFG,1992/5/1
5,0,1992,6,1,1,AFG,1992/6/1
2,0,1992,7,2,1,AFG,1992/7/1
2,1,1992,9,2,1,AFG,1992/9/1
0,2,1992,11,1,1,AFG,1992/11/1
0,0,1992,12,2,1,AFG,1992/12/1
0,0,1994,3,1,1,AFG,1994/3/1
1,0,1994,7,1,1,AFG,1994/7/1
0,0,1996,11,1,1,AFG,1996/11/1
22,20,1999,11,2,1,AFG,1999/11/1
12,0,2000,8,1,1,AFG,2000/8/1
150,,2001,1,1,1,AFG,2001/1/1
2,2,2001,12,1,1,AFG,2001/12/1
0,1,2002,1,1,1,AFG,2002/1/1
5,1,2002,4,3,1,AFG,2002/4/1
3,0,2002,7,1,1,AFG,2002/7/1
3,1,2002,9,1,1,AFG,2002/9/1
4,,2003,1,1,1,AFG,2003/1/1
1,0,2003,2,2,1,AFG,2003/2/1
3,1,2003,3,1,1,AFG,2003/3/1
10,0,2003,4,3,1,AFG,2003/4/1
1,0,2003,5,2,1,AFG,2003/5/1
8,2,2003,7,4,1,AFG,2003/7/1
7,0,2003,8,1,1,AFG,2003/8/1
12,2,2003,9,4,1,AFG,2003/9/1
0,1,2003,10,1,1,AFG,2003/10/1
1,3,2003,11,3,1,AFG,2003/11/1
1,11,2003,12,1,1,AFG,2003/12/1
26,19,2004,1,5,1,AFG,2004/1/1
5,0,2004,3,3,1,AFG,2004/3/1
18,7,2004,4,4,1,AFG,2004/4/1
2,0,2004,5,1,1,AFG,2004/5/1
55,16,2004,6,9,1,AFG,2004/6/1
6,5,2004,7,2,1,AFG,2004/7/1
2,1,2004,9,1,1,AFG,2004/9/1
11,7,2004,10,6,1,AFG,2004/10/1
9,0,2004,11,2,1,AFG,2004/11/1
2,1,2004,12,1,1,AFG,2004/12/1
2,1,2005,1,1,1,AFG,2005/1/1
11,0,2005,2,2,1,AFG,2005/2/1
1,0,2005,3,1,1,AFG,2005/3/1
9,,2005,4,2,1,AFG,2005/4/1
21,0,2005,5,5,1,AFG,2005/5/1
1,1,2005,6,1,1,AFG,2005/6/1
48,24,2005,7,13,1,AFG,2005/7/1
17,4,2005,8,12,1,AFG,2005/8/1
