time,nkill
1992-01,813
1992-02,797
1992-03,845
1992-04,1353
1992-05,819
1992-06,522
1992-07,634
1992-08,757
1992-09,802
1992-10,1037
1992-11,570
1992-12,797
1994-01,558
1994-02,444
1994-03,689
1994-04,2061
1994-05,614
1994-06,535
1994-07,553
1994-08,211
1994-09,515
1994-10,635
1994-11,513
1994-12,363
1995-01,358
1995-02,455
1995-03,380
1995-04,780
1995-05,430
1995-06,431
1995-07,501
1995-08,518
1995-09,537
1995-10,792
1995-11,343
1995-12,570
1996-01,492
1996-02,437
1996-03,440
1996-04,651
1996-05,1104
1996-06,547
1996-07,954
1996-08,359
1996-09,525
1996-10,469
1996-11,496
1996-12,481
1997-01,752
1997-02,529
1997-03,647
1997-04,475
1997-05,408
1997-06,623
1997-07,1082
1997-08,1568
1997-09,937
1997-10,964
1997-11,1104
1997-12,1866
1998-01,664
1998-02,754
1998-03,283
1998-04,296
1998-05,125
1998-06,137
1998-07,278
1998-08,882
1998-09,191
1998-10,390
1998-11,532
1998-12,145
1999-01,131
1999-02,105
1999-03,306
1999-04,189
1999-05,154
1999-06,515
1999-07,539
1999-08,269
1999-09,448
1999-10,210
1999-11,323
1999-12,199
2000-01,344
2000-02,338
2000-03,484
2000-04,101
2000-05,261
2000-06,287
2000-07,396
2000-08,239
2000-09,642
2000-10,421
2000-11,398
2000-12,511
2001-01,533
2001-02,273
2001-03,371
2001-04,469
2001-05,297
2001-06,227
2001-07,243
2001-08,990
2001-09,3380
2001-10,236
2001-11,393
2001-12,326
2002-01,305
2002-02,322
2002-03,254
2002-04,616
2002-05,1099
2002-06,274
2002-07,281
2002-08,371
2002-09,209
2002-10,634
2002-11,239
2002-12,195
2003-01,377
2003-02,274
2003-03,239
2003-04,282
2003-05,431
2003-06,252
2003-07,337
2003-08,314
2003-09,215
2003-10,136
2003-11,298
2003-12,116
2004-01,285
2004-02,536
2004-03,1133
2004-04,309
2004-05,304
2004-06,689
2004-07,301
2004-08,311
2004-09,659
2004-10,565
2004-11,206
2004-12,415
2005-01,433
2005-02,414
2005-03,371
2005-04,341
2005-05,954
2005-06,450
2005-07,1070
2005-08,431
2005-09,632
2005-10,545
2005-11,447
2005-12,223
2006-01,552
2006-02,785
2006-03,544
2006-04,835
2006-05,754
2006-06,480
2006-07,1017
2006-08,965
2006-09,532
2006-10,934
2006-11,1000
2006-12,964
2007-01,735
2007-02,1117
2007-03,1661
2007-04,1265
2007-05,737
2007-06,1204
2007-07,1331
2007-08,981
2007-09,623
2007-10,857
2007-11,1263
2007-12,812
2008-01,927
2008-02,887
2008-03,716
2008-04,708
2008-05,919
2008-06,730
2008-07,744
2008-08,830
2008-09,417
2008-10,619
2008-11,699
2008-12,897
2009-01,863
2009-02,547
2009-03,566
2009-04,794
2009-05,762
2009-06,907
2009-07,1173
2009-08,1021
2009-09,578
2009-10,842
2009-11,490
2009-12,728
2010-01,422
2010-02,722
2010-03,579
2010-04,616
2010-05,816
2010-06,494
2010-07,950
2010-08,775
2010-09,656
2010-10,476
2010-11,576
2010-12,615
2011-01,723
2011-02,485
2011-03,714
2011-04,590
2011-05,757
2011-06,740
2011-07,637
2011-08,687
2011-09,676
2011-10,571
2011-11,888
2011-12,708
2012-01,1690
2012-02,1039
2012-03,1413
2012-04,1194
2012-05,1346
2012-06,1577
2012-07,1389
2012-08,1423
2012-09,1147
2012-10,1217
2012-11,1202
2012-12,790
2013-01,1450
2013-02,1294
2013-03,1379.98
2013-04,1432
2013-05,2129.6
2013-06,1888
2013-07,2216.42
2013-08,2234
2013-09,2322
2013-10,1991
2013-11,1739
2013-12,2135
2014-01,2280.2
2014-02,2657.96
2014-03,2874
2014-04,3231
2014-05,4466.34
2014-06,6287
2014-07,4548
2014-08,4033.5
2014-09,3191
2014-10,3252
2014-11,2995
2014-12,3696
