typename,ntype,year,month,nattack,day,country,idate
Chemical,2,2004,5,1,1,AFG,2004/5/1
Chemical,2,2008,11,1,1,AFG,2008/11/1
Chemical,2,2009,3,1,1,AFG,2009/3/1
Chemical,2,2009,4,1,1,AFG,2009/4/1
Chemical,2,2009,5,2,1,AFG,2009/5/1
Chemical,2,2010,4,1,1,AFG,2010/4/1
Chemical,2,2010,5,2,1,AFG,2010/5/1
Chemical,2,2010,6,1,1,AFG,2010/6/1
Chemical,2,2010,8,1,1,AFG,2010/8/1
Chemical,2,2011,1,1,1,AFG,2011/1/1
Chemical,2,2012,1,1,1,AFG,2012/1/1
Chemical,2,2012,2,1,1,AFG,2012/2/1
Chemical,2,2012,4,1,1,AFG,2012/4/1
Chemical,2,2012,5,5,1,AFG,2012/5/1
Chemical,2,2012,6,3,1,AFG,2012/6/1
Chemical,2,2012,11,2,1,AFG,2012/11/1
Chemical,2,2013,1,1,1,AFG,2013/1/1
Chemical,2,2013,4,1,1,AFG,2013/4/1
Chemical,2,2013,5,3,1,AFG,2013/5/1
Chemical,2,2013,6,1,1,AFG,2013/6/1
Chemical,2,2013,7,1,1,AFG,2013/7/1
Chemical,2,2014,10,1,1,AFG,2014/10/1
Explosives/Bombs/Dynamite,3,1992,1,1,1,AFG,1992/1/1
Explosives/Bombs/Dynamite,3,1992,2,2,1,AFG,1992/2/1
Explosives/Bombs/Dynamite,3,1992,8,2,1,AFG,1992/8/1
Explosives/Bombs/Dynamite,3,1992,11,3,1,AFG,1992/11/1
Explosives/Bombs/Dynamite,3,1992,12,6,1,AFG,1992/12/1
Explosives/Bombs/Dynamite,3,1994,1,1,1,AFG,1994/1/1
Explosives/Bombs/Dynamite,3,1994,5,1,1,AFG,1994/5/1
Explosives/Bombs/Dynamite,3,1994,7,2,1,AFG,1994/7/1
Explosives/Bombs/Dynamite,3,1995,8,1,1,AFG,1995/8/1
Explosives/Bombs/Dynamite,3,1995,9,1,1,AFG,1995/9/1
Explosives/Bombs/Dynamite,3,1995,10,1,1,AFG,1995/10/1
Explosives/Bombs/Dynamite,3,1995,12,1,1,AFG,1995/12/1
Explosives/Bombs/Dynamite,3,1996,7,1,1,AFG,1996/7/1
Explosives/Bombs/Dynamite,3,1996,8,1,1,AFG,1996/8/1
Explosives/Bombs/Dynamite,3,1997,1,1,1,AFG,1997/1/1
Explosives/Bombs/Dynamite,3,1998,9,1,1,AFG,1998/9/1
Explosives/Bombs/Dynamite,3,1999,6,1,1,AFG,1999/6/1
Explosives/Bombs/Dynamite,3,1999,7,4,1,AFG,1999/7/1
Explosives/Bombs/Dynamite,3,1999,8,1,1,AFG,1999/8/1
Explosives/Bombs/Dynamite,3,1999,11,1,1,AFG,1999/11/1
Explosives/Bombs/Dynamite,3,2000,2,3,1,AFG,2000/2/1
Explosives/Bombs/Dynamite,3,2000,6,1,1,AFG,2000/6/1
Explosives/Bombs/Dynamite,3,2000,7,3,1,AFG,2000/7/1
Explosives/Bombs/Dynamite,3,2000,9,2,1,AFG,2000/9/1
Explosives/Bombs/Dynamite,3,2000,10,1,1,AFG,2000/10/1
Explosives/Bombs/Dynamite,3,2000,11,1,1,AFG,2000/11/1
Explosives/Bombs/Dynamite,3,2000,12,2,1,AFG,2000/12/1
Explosives/Bombs/Dynamite,3,2001,1,1,1,AFG,2001/1/1
Explosives/Bombs/Dynamite,3,2001,2,4,1,AFG,2001/2/1
Explosives/Bombs/Dynamite,3,2001,3,2,1,AFG,2001/3/1
Explosives/Bombs/Dynamite,3,2001,5,1,1,AFG,2001/5/1
Explosives/Bombs/Dynamite,3,2001,9,2,1,AFG,2001/9/1
Explosives/Bombs/Dynamite,3,2002,1,1,1,AFG,2002/1/1
Explosives/Bombs/Dynamite,3,2002,4,2,1,AFG,2002/4/1
Explosives/Bombs/Dynamite,3,2002,5,6,1,AFG,2002/5/1
Explosives/Bombs/Dynamite,3,2002,6,1,1,AFG,2002/6/1
Explosives/Bombs/Dynamite,3,2002,8,9,1,AFG,2002/8/1
Explosives/Bombs/Dynamite,3,2002,9,2,1,AFG,2002/9/1
Explosives/Bombs/Dynamite,3,2002,10,1,1,AFG,2002/10/1
Explosives/Bombs/Dynamite,3,2002,11,7,1,AFG,2002/11/1
Explosives/Bombs/Dynamite,3,2002,12,3,1,AFG,2002/12/1
Explosives/Bombs/Dynamite,3,2003,1,5,1,AFG,2003/1/1
Explosives/Bombs/Dynamite,3,2003,2,9,1,AFG,2003/2/1
Explosives/Bombs/Dynamite,3,2003,3,24,1,AFG,2003/3/1
Explosives/Bombs/Dynamite,3,2003,5,5,1,AFG,2003/5/1
Explosives/Bombs/Dynamite,3,2003,6,6,1,AFG,2003/6/1
Explosives/Bombs/Dynamite,3,2003,7,4,1,AFG,2003/7/1
Explosives/Bombs/Dynamite,3,2003,8,1,1,AFG,2003/8/1
Explosives/Bombs/Dynamite,3,2003,9,4,1,AFG,2003/9/1
Explosives/Bombs/Dynamite,3,2003,11,6,1,AFG,2003/11/1
Explosives/Bombs/Dynamite,3,2003,12,6,1,AFG,2003/12/1
Explosives/Bombs/Dynamite,3,2004,1,7,1,AFG,2004/1/1
Explosives/Bombs/Dynamite,3,2004,4,1,1,AFG,2004/4/1
Explosives/Bombs/Dynamite,3,2004,6,10,1,AFG,2004/6/1
Explosives/Bombs/Dynamite,3,2004,7,5,1,AFG,2004/7/1
Explosives/Bombs/Dynamite,3,2004,8,7,1,AFG,2004/8/1
Explosives/Bombs/Dynamite,3,2004,9,3,1,AFG,2004/9/1
Explosives/Bombs/Dynamite,3,2004,10,7,1,AFG,2004/10/1
Explosives/Bombs/Dynamite,3,2004,12,1,1,AFG,2004/12/1
Explosives/Bombs/Dynamite,3,2005,1,5,1,AFG,2005/1/1
Explosives/Bombs/Dynamite,3,2005,3,9,1,AFG,2005/3/1
Explosives/Bombs/Dynamite,3,2005,4,4,1,AFG,2005/4/1
Explosives/Bombs/Dynamite,3,2005,5,3,1,AFG,2005/5/1
Explosives/Bombs/Dynamite,3,2005,6,2,1,AFG,2005/6/1
Explosives/Bombs/Dynamite,3,2005,7,10,1,AFG,2005/7/1
Explosives/Bombs/Dynamite,3,2005,8,6,1,AFG,2005/8/1
Explosives/Bombs/Dynamite,3,2005,9,7,1,AFG,2005/9/1
Explosives/Bombs/Dynamite,3,2005,10,8,1,AFG,2005/10/1
Explosives/Bombs/Dynamite,3,2005,11,7,1,AFG,2005/11/1
Explosives/Bombs/Dynamite,3,2005,12,4,1,AFG,2005/12/1
Explosives/Bombs/Dynamite,3,2006,1,8,1,AFG,2006/1/1
Explosives/Bombs/Dynamite,3,2006,2,15,1,AFG,2006/2/1
Explosives/Bombs/Dynamite,3,2006,3,4,1,AFG,2006/3/1
